1,32,25,72,102,flower
1,185,25,72,102,flower
1,338,25,72,102,flower
1,32,178,72,102,flower
1,185,178,72,102,flower
1,338,178,72,102,flower
1,121,331,72,102,flower
1,274,331,72,102,flower
2,32,32,128,95,banana
2,185,32,128,95,banana
2,338,32,128,95,banana
2,96,224,106,128,lamp
2,249,224,106,128,lamp
3,42,42,150,153,hut
3,263,42,150,153,hut
3,173,263,101,170,pineapple
4,32,32,110,128,bell
4,185,32,110,128,bell
4,338,32,110,128,bell
4,32,224,110,128,bell
4,185,224,110,128,bell
4,338,224,110,128,bell
5,32,32,122,128,frog
5,185,32,122,128,frog
5,338,32,128,102,shark
5,96,224,128,102,shark
5,249,224,128,102,shark
6,42,42,135,136,ball
6,263,42,135,136,ball
6,42,263,170,165,pumpkin
6,263,263,170,165,pumpkin
7,32,32,102,128,dog
7,185,32,102,128,dog
7,338,32,102,128,dog
7,32,224,128,109,mango
7,185,224,128,109,mango
7,338,224,128,109,mango
8,42,42,170,135,shark
8,263,42,136,170,dog
8,173,263,136,170,dog
9,32,25,128,67,car
9,185,25,128,67,car
9,338,25,128,67,car
9,32,178,128,67,car
9,185,178,128,67,car
9,338,178,128,67,car
9,185,331,128,67,car
10,42,42,136,170,dog
10,263,42,136,170,dog
10,173,263,136,170,dog
11,32,32,128,106,pig
11,185,32,128,106,pig
11,338,32,128,106,pig
11,96,224,128,106,pig
11,249,224,128,106,pig
12,32,32,128,111,cap
12,185,32,128,111,cap
12,338,32,128,111,cap
12,96,224,128,111,cap
12,249,224,123,128,sun
13,42,42,170,135,shark
13,263,42,150,153,hut
13,173,263,150,153,hut
14,32,25,128,67,car
14,185,25,128,67,car
14,338,25,128,67,car
14,32,178,128,67,car
14,185,178,128,67,car
14,338,178,128,67,car
14,121,331,128,67,car
14,274,331,128,67,car
15,144,144,145,167,tree
16,42,42,155,170,pencil
16,263,42,155,170,pencil
16,42,263,155,170,pencil
16,263,263,155,170,pencil
17,32,32,128,94,ant
17,185,32,128,94,ant
17,338,32,128,94,ant
17,32,224,88,128,corn
17,185,224,88,128,corn
17,338,224,88,128,corn
18,42,42,170,156,bird
18,263,42,170,126,banana
18,173,263,170,126,banana
19,32,32,128,112,umbrella
19,185,32,128,112,umbrella
19,338,32,128,112,umbrella
19,96,224,128,112,umbrella
19,249,224,128,112,umbrella
20,42,42,127,170,balloon
20,263,42,127,170,balloon
20,42,263,127,170,balloon
20,263,263,127,170,balloon
21,32,25,128,106,pig
21,185,25,128,106,pig
21,338,25,128,106,pig
21,32,178,128,106,pig
21,185,178,128,106,pig
21,338,178,128,106,pig
21,185,331,128,106,pig
22,32,25,93,102,pencil
22,185,25,93,102,pencil
22,338,25,93,102,pencil
22,32,178,93,102,pencil
22,185,178,93,102,pencil
22,338,178,93,102,pencil
22,121,331,60,102,zirafah
22,274,331,60,102,zirafah
23,42,42,170,162,elephant
23,263,42,170,127,eapot
23,42,263,170,127,eapot
23,263,263,170,127,eapot
24,144,144,145,167,tree
25,32,25,80,102,owl
25,185,25,80,102,owl
25,338,25,80,102,owl
25,32,178,80,102,owl
25,185,178,80,102,owl
25,338,178,80,102,owl
25,121,331,80,102,owl
25,274,331,80,102,owl
26,42,42,170,126,ant
26,263,42,170,126,ant
26,173,263,170,126,ant
27,32,25,128,102,top
27,185,25,128,102,top
27,338,25,128,102,top
